+train,test
-327.6287231734286,-316.8551199034932
-329.18669894176765,-320.66006584548177
-320.03602336969436,-306.1430036373246
-319.37185748288374,-324.75745594782865
-337.32904856278805,-333.93376016002946
-299.15882840012836,-329.03029101795977
-324.0477367749746,-284.6352034377855
-323.14523735224486,-307.0247322943803
-342.5600408588012,-295.32212573664
-342.2122750735829,-318.62889653910065
-276.52218366720206,-333.44876748656736
-292.7001576795509,-390.291823143816
-346.0929378468335,-309.7779763141242
-321.99459540989517,-308.4878929150053
-324.1477501054702,-319.05998096448104
-283.3226505503771,-334.4063883565328
-302.9821274793982,-336.7113515131624
-316.72582284971844,-315.6264764625177
-303.6665354282748,-336.49069321446257
-306.12795710332824,-345.20975318373127
-304.3366855464243,-279.89114991722926
-319.3377317272642,-320.85245046997494
-300.2957554109381,-309.639607568945
-291.4761925452408,-350.92207223590736
-327.3274531125472,-364.80794490721536
-294.91492278463755,-300.452267652421
-293.19953638180164,-319.26935111515513
-307.4513100606044,-284.60047206367886
-309.0873710756944,-292.50101885052055
-337.812738569097,-332.65243469777215
-295.68535673871133,-357.4241641625249
-304.4783614031563,-294.55356272882267
-321.84118895954214,-250.35830359739143
-285.07418298664743,-299.3570520345672
-301.2624529655374,-330.0508155797745
-359.64107789439436,-311.4614678285124
-269.9963440706849,-317.3274706485163
-344.1177149247687,-281.947292676722
-294.9644260047035,-311.00927600658537
-264.00768504913776,-320.5480288697476
-297.3249056726984,-304.03701136530935
-292.941998959504,-279.7796744845523
-274.7865408414264,-324.38118251087883
-306.5492872040609,-308.5169123284811
-255.25150758879383,-321.7581713585911
-267.03839407126816,-312.35782090822937
-310.33632052022267,-257.3934002054133
-293.13606377985144,-312.44573900762407
-271.63140000213724,-294.2005277929507
-269.72062338886127,-337.6845760266304
-279.7796031875196,-290.54017630917787
-291.67797374360725,-259.37433779380603
-319.65380464681726,-288.7906184303441
-309.3897313978798,-294.7193342664429
-280.05126242001836,-302.90491418063675
-324.02376369010756,-283.0003235152734
-321.5414434794429,-318.20744433217965
-284.36659626414536,-257.63662987613736
-340.15796943876967,-281.81079483659266
-272.96662648697645,-268.07020510762845
-267.77874212668826,-325.24930089010815
-265.73588174913937,-325.240398667909
-298.8653328853628,-318.02234707923463
-273.2322271583198,-294.3515388522125
-275.8709558811773,-268.9717283031414
-258.8080509980762,-276.46327418540767
-277.09470854838406,-275.8736790875652
-262.5371264229871,-287.2043517779622
-276.4414525865898,-260.74817221571107
-257.8150343336341,-313.7698617804282
-236.52942178858856,-306.33239918899153
-260.2626914693584,-237.32204811831292
-264.66656084302093,-308.86455222180876
-294.8209791661876,-285.86026213220237
-301.2301686451369,-261.973380510933
-275.26232974829867,-272.90551047395456
-330.57745875707826,-274.8335598015392
-279.19295000027097,-271.39531140210136
-255.20696234705724,-286.2488169577818
-313.20317222860143,-294.0361448386158
-273.1294243250856,-314.8803616628849
-315.39324696079683,-287.8689504111858
-270.0704987454732,-290.0736525247092
-356.2366920792256,-297.87312492525155
-279.94219431729124,-291.9832796469192
-260.5758432248198,-297.08601882509396
-306.0853118151652,-298.86166230844907
-300.81450136441885,-303.2028364018718
-315.74578368701555,-249.9090375276086
-303.7247221680937,-259.99983629611773
-284.4226962867402,-267.4090731191657
-309.84463433860225,-245.70634374786414
-298.0321073458623,-233.3833841582227
-249.31625096086842,-333.0864512086585
-277.40969328121525,-318.626812665829
-262.5876188344073,-275.3791928525155
-285.1993062324141,-270.13429444906745
-299.7493680080747,-239.70147564817248
-284.3282142254927,-261.74773164435766
-290.94766317033105,-275.98749086954405
-267.92703873128863,-307.04809599117164
-274.7899146814014,-279.1468144021693
-307.4093718526215,-282.3638477210977
-290.60507094140235,-248.22110961080708
-262.90197238989555,-306.3519854996621
-254.64651135612917,-273.60408586660975
-261.47803496072436,-284.14137788792783
-293.9586476808417,-281.7571106836372
-269.5329347176027,-238.0516352633571
-270.16139542123767,-311.1459177327718
-279.6658644448597,-297.7527314623906
-261.00864772618894,-255.8386324265586
-274.4650289765465,-255.7569561147298
-311.09907505197975,-254.63620120218744
-259.86347087557095,-273.3630593486986
-215.543575175989,-235.47653196779848
-318.7245158648199,-280.46119774678107
-269.7900900762195,-283.77904535297665
-241.74604336907692,-252.64350550541263
-316.15200451514954,-253.72951318941426
-273.52522483183935,-248.63686857715584
-306.6814159922205,-309.41265563640815
-217.89187566221864,-252.3520825032006
-223.37913662907937,-344.02251573587785
-240.30357214974086,-287.3696477254062
-276.5208899592156,-269.8099300609585
-276.7331836929337,-250.71076604001846
-280.60662205906186,-303.0453010752164
-244.31862570243342,-248.04582730474888
-253.40819567309458,-269.50118003590103
-256.37894031136,-296.2726939289225
-275.2080955705209,-242.87175350222202
-215.69574369467674,-253.7852552892412
-281.0323000835411,-286.4126123030305
-260.49066401027426,-361.1609889266407
-255.38136808038516,-258.86298824680284
-291.9795713032347,-308.21350396079066
-286.24152029639714,-269.3671976186044
-282.80873477872007,-318.0327348153535
-297.409256058799,-279.11539051898916
-272.84622856622707,-244.29369923633297
-210.54964819067845,-259.39924299689
-235.6986305542766,-267.264543925839
-267.57944115550777,-246.2687724053858
-222.27680983403144,-252.2314186974232
-280.16967841148204,-273.3108952091143
-243.10087785646277,-238.92251393519564
-299.9435970943176,-301.5722156028544
-282.8514640003411,-249.44205738071298
-272.05412709319694,-287.30638867632297
-245.74476975937384,-242.1306424543831
-301.0557335060851,-284.2184675596424
-274.39710054558066,-274.64886604469905
-255.8304405220799,-277.69340640775926
-259.5433939952078,-252.62999835242178
-260.4826687746447,-263.4389275644638
-273.67092291458926,-264.28066154489153
-288.13212457552885,-314.40274069959685
-289.99297395059585,-301.2462251502685
-253.22737736856274,-243.06056869002146
-256.9793970687487,-234.38389929029114
-257.31440638484776,-231.34767415807258
-296.90689998333437,-220.53015590284005
-252.97608141460606,-230.90696290617797
-302.6658638881128,-223.9125331330862
-215.42709353066383,-242.53656822917293
-232.78582046461457,-259.12041948884786
-241.49696692318045,-247.2340041197559
-271.29468727782125,-245.52558544485927
-311.1999745268973,-268.6969185694681
-229.85765597445913,-268.00717036681897
-234.18769462051088,-245.40099903444192
-275.79756710740367,-210.58518671012635
-245.69391587999138,-275.56054037396245
-213.75045998882075,-261.16930660945025
-234.3661600824363,-243.6015254464816
-246.49685668262617,-233.1283804956023
-254.1201968578066,-276.096604646984
-262.44533138799267,-235.3269699109623
-265.2563696084386,-261.56157393630025
-241.83414788058403,-245.01414689228554
-267.7659837264415,-259.93087797944315
-242.46701324647506,-222.25666226651322
-262.47673225575477,-234.82269694039974
-245.12264955027894,-194.63252767560954
-207.24736198504934,-284.25977114824
-257.1199343722575,-265.3850542803187
-249.47718111300088,-231.91143423638894
-231.75736507195705,-251.51145533951868
-233.77555731895265,-229.30020405579117
-249.09323157284504,-222.43039485761452
-234.63432759732117,-214.76750916528567
-212.5998771181822,-249.24545831612966
-267.6268205147327,-263.69791260054274
-242.84903649009658,-275.40710875070533
-301.9031139038518,-278.55977071966896
-279.6254033965591,-228.4491032273035
-268.3267526001692,-241.18597472794028
-238.58592627927098,-204.7978243093026
-240.78047386587662,-267.86175321288715
-252.5731231715669,-256.0282011016218
-268.24549509813215,-229.29116661456615
-249.87389495670593,-231.3943885942337
-238.79432140809337,-229.5154122510846
-213.03410376315492,-268.0140748491315
-274.0817780578575,-255.56333333764258
-203.91287122565265,-199.9526939677644
-274.93597861929214,-252.17287113730524
-246.00837050301743,-256.8143714446211
-205.2279473406505,-285.2770605752348
-250.5320469702305,-248.9524776816195
-227.7574899438791,-231.217074042881
-223.01735422669177,-262.11366818131523
-238.76898993515357,-266.77834485702067
-224.07766562605065,-260.4547886634931
-285.5129924903975,-241.5129179981404
-232.6929857165953,-196.10547004018207
-231.93115626717963,-261.3917503748688
-277.08016880959,-237.1075311754771
-236.33852762182062,-201.3186841181333
-238.55589462855522,-278.27784023243856
-307.41766727415086,-216.08482822973488
-257.37115235347585,-202.06000685501337
-218.67763457563345,-237.34539053238754
-226.70352171614076,-218.2634670322576
-246.97148372879866,-215.79389829322957
-253.5700077187355,-200.7797244615387
-213.71359675741022,-223.82025659164773
-236.66581196295488,-253.72910100162727
-214.83034657066506,-225.17258976673347
-234.41537527747897,-251.676556475169
-204.62664585092756,-221.87340826150785
-225.34749603139718,-263.9938499844441
-229.7822083787874,-248.4993695660438
-236.79346885648013,-244.00107502282327
-213.72574892321566,-273.50252685962965
-195.96346786350247,-269.410447688323
-266.27539256501797,-233.39905662671464
-235.2102339434155,-224.55595990154217
-216.37032443494715,-224.163057330059
-192.12164696099157,-253.4658317972839
-235.23945203948358,-216.30204852287017
-247.70820395603536,-239.181796959198
-178.56156892546687,-235.85601719760027
-188.9493622778668,-215.91040013649328
-247.93432088242426,-220.9981316173576
-245.07428354640308,-233.76734294582772
-202.43944320816155,-186.17273666732586
-237.3295787031179,-214.27358091813136
-260.05039045050364,-238.60200484729748
-182.34006969448245,-218.7506891979899
-214.33599407692157,-231.6948089069436
-232.44494690209797,-230.0942135551386
-230.5248792140501,-204.94715199405553
-226.5580503739428,-201.06429871778425
-243.27785473460452,-218.70661910624335
-248.24024126008075,-230.5848662070811
-244.2771069609454,-244.41342653509176
-244.36932203519493,-211.57514239101093
-228.08012893245677,-223.83338725331424
-215.0685073518463,-250.41308091997567
-193.5715580546981,-261.0682091848386
-250.6917959539863,-225.3948321931083
-246.60377772249427,-268.20355129179563
-204.72346742820963,-233.6209308198503
-216.44540102327517,-223.48561344076987
-207.24491054911934,-213.04501423754257
-199.1630715500771,-219.34312761383188
-263.56557375014665,-232.36343196315542
-204.5283970479421,-231.62016444004666
-248.53866028636472,-238.0066121029513
-231.498255293011,-237.1891983372719
-210.93969344710735,-230.48453981321813
-226.15596656943077,-240.928242798521
