train,test
-409.97933038186153,-423.2544120983893
-333.8619348716441,-436.12416201258736
-398.981461890325,-353.22460321261406
-429.33964532722337,-367.6688410031464
-337.38505673429285,-421.4319559141079
-345.97193995484014,-387.3694269335276
-458.3676635506124,-407.6605295775358
-390.11406766245534,-379.4135931936419
-434.96320285238096,-402.6180977872112
-437.99797582998355,-386.38237106129014
-449.9423822241357,-388.7454299074441
-423.83721060597725,-375.0918791702005
-393.7602379127071,-395.0457375557305
-383.904807905035,-393.3647011186902
-406.09736119805757,-409.23807094584896
-384.06109393079225,-381.2148243531308
-396.1975061600301,-422.96583362542077
-359.69146557516444,-413.2449371929049
-358.6987960763988,-392.7987452589889
-345.13531221293954,-434.331141307844
-405.20539263803926,-380.5944292133928
-397.8381191268004,-415.4889602618485
-436.22475423712086,-421.61157918241173
-394.8844352386587,-382.527080706428
-391.7688498019872,-389.57546912641243
-412.08301084473106,-407.0451190157336
-377.648110482217,-397.1783305909292
-382.19582200038866,-380.59995279405547
-360.8134599889328,-395.5171032770957
-403.1837019139888,-456.46542181213783
-389.9866451818288,-369.7284995462805
-436.40618298826655,-403.7460413540378
-368.23523137551143,-397.7902529595972
-389.09674603092776,-399.2530275907354
-406.63345610183853,-357.46503761877375
-340.108535250014,-397.2003516730969
-408.2449716806427,-356.8414919845389
-389.4647925480854,-430.9335779360338
-400.43920878553666,-407.4886850999955
-435.6466200152387,-349.3066099637485
-411.68354460580906,-364.9203428482025
-418.6522319936817,-335.72926565104024
-363.28895166685953,-382.39732733385705
-357.8745557406197,-344.84624345994894
-365.8637034525732,-394.614127508874
-353.3327301349419,-394.84069151023414
-397.42762580357385,-339.10225258700416
-408.5307543048996,-399.2492182654968
-367.26341311537846,-383.0180752813315
-453.9391285937582,-378.9060159424256
-338.05464855290035,-406.251472941913
-399.47965407305463,-356.3691114523439
-328.34636290612275,-346.1035031376289
-389.5975564252368,-378.9645870762953
-346.73002869010963,-386.70593504319663
-398.61390770776467,-309.9365523303573
-381.07056367893017,-330.881386437323
-349.50399000069643,-374.90133253847034
-387.00834615486696,-343.64082116349346
-368.5520607758665,-363.2161995520872
-421.5869848890703,-387.15556731819686
-380.0232031991875,-414.8063659203351
-353.90327957939024,-354.8965064372218
-373.0090457511763,-347.48130736850095
-369.7864112572149,-370.4072477382236
-322.85149817990407,-380.4080168662338
-377.3499121938386,-381.9073430214134
-383.3470922629581,-390.5448012662919
-383.72368665195216,-446.1913986992538
-413.8847846144088,-353.9821807788773
-349.91983297826994,-363.21570809399054
-362.3806408208095,-398.13414054301495
-340.71419686029975,-380.65501990247736
-425.9519588586678,-374.6275075145304
-357.7090163653848,-312.58242399388297
-372.427398518512,-412.93614855325234
-369.9728210260473,-328.68049677916764
-332.9774388636884,-386.1512620863753
-405.13120436109773,-404.9814405284668
-404.0723438273949,-343.6993655410058
-382.25455752196973,-361.38655056506974
-365.89147383834137,-346.90532404369907
-377.1174296565031,-365.26724982346764
-424.54598421751706,-387.78524123172684
-350.5925671262191,-320.6466660647438
-375.70566872741495,-387.0882948853522
-375.52101515932,-352.7096192198208
-341.25422905023794,-409.17521934801795
-361.88255692432284,-383.3307744139214
-348.1036879411757,-394.17642178250895
-341.8606144521297,-386.18411096405873
-399.44670668474026,-325.4062964247171
-343.5098832636248,-353.8620445056382
-350.85573707910646,-367.81419325542606
-374.7242777807701,-393.5644502635626
-312.14964280955866,-322.40270113101974
-340.69355356582173,-436.8847633976556
-370.09355244750043,-343.7329951693914
-331.1340474036546,-361.45847679271526
-350.96176275685673,-357.56064249471933
-324.2419247899024,-387.81137738204563
-362.2737376033711,-290.615064530768
-366.41041390928774,-350.3707563288049
-371.71699283821545,-401.8299032006338
-345.3691142843117,-323.1656933673385
-381.5238788702491,-388.94220056441236
-380.4047556869902,-317.92555701296095
-382.968187006728,-380.6329645269833
-355.2840603523074,-345.0981047391739
-348.3260230429901,-318.9779856090619
-343.7456187554116,-341.3821832179224
-292.47591009863766,-278.0778988580108
-395.2621998250361,-361.8666521086264
-345.58377961421814,-417.7071571987039
-317.0569009799548,-310.922892926119
-351.38431718523304,-344.1213419560499
-340.82076202007704,-380.8315360113151
-332.92192404924685,-363.633108639234
-337.701939365216,-320.87086670682294
-396.56041359393225,-350.17359983512455
-378.6761935610946,-305.07375629997637
-308.86138151496573,-330.9369533644127
-313.9897740060495,-305.8440605772261
-376.80603649134724,-351.73327722481474
-356.11676229321534,-404.8630391618561
-370.08615288253986,-375.8275900798061
-327.4010757112932,-342.97465706266524
-359.5785085306066,-388.7321002460763
-339.41896322109346,-338.90637659813586
-341.86421045980154,-318.9334968528806
-357.8374544101972,-346.15093869124394
-316.8891651338033,-325.7750193440226
-325.5357335201873,-384.4818309679982
-331.6261492047413,-345.2190161009558
-363.7560550715509,-328.8767845288339
-357.6251607890183,-347.83104099228746
-363.61507600147814,-340.06182037191763
-327.4753832124731,-349.3986852931115
-360.5040661328488,-334.54311577037214
-332.285517803322,-356.83646387250013
-366.38467579479095,-291.5645444743535
-351.66453339200484,-353.0175779331065
-316.03941102653937,-317.35398782165015
-302.5063207782918,-308.6859231856688
-311.6290892856416,-334.398316449783
-314.9289401780458,-307.06621346235704
-339.81690416787904,-346.2175376882679
-353.89448563545625,-328.4882547394728
-361.7428032761748,-352.7367359262099
-351.13249732932184,-304.1335815207167
-347.3796213660288,-350.6724099257391
-318.20195305796153,-318.2973218608629
-345.5135953737905,-288.8658212635195
-292.1143522963157,-323.88414535431696
-323.16363657325564,-364.6651302097085
-316.0220529214288,-321.9128711827631
-338.240145844372,-310.0805768866097
-330.98169986937836,-320.0984019725395
-327.8199076823871,-326.866285916031
-300.07786790535664,-319.2729431675936
-356.97997940783193,-400.3414840950723
-285.77095310826644,-333.2391269065927
-343.55478685270805,-291.9130238607585
-292.49103563415673,-379.3803414016275
-327.39909996659,-341.8773478875949
-350.75944710873335,-346.59769032424185
-293.1270735183997,-329.78233651658417
-292.37130835233495,-334.89640188474294
-254.7851675270249,-333.1269941726937
-332.4619204754077,-302.03063425514216
-317.3713985474936,-317.58788207370304
-307.5946015122367,-331.1368217602744
-293.9389352450273,-262.9944040928842
-338.9297028677724,-332.478303751417
-363.63004887433,-315.1257164534623
-332.74066008529724,-361.0380057133718
-334.16333328236715,-367.9289170940856
-341.79281990853696,-363.96303109063496
-343.93078992582883,-317.3091880343817
-396.0899763427037,-341.9988812545519
-305.802475061263,-317.0334739116503
-262.3236087881681,-336.2990607617287
-307.5310932915785,-334.4460273997327
-333.8305752410838,-309.70512322444335
-335.15046607410034,-341.53363166550565
-313.8716783685123,-333.73726358123304
-300.95355187440845,-250.00895056510456
-360.9823675362724,-327.78562175591617
-334.3546678720292,-307.51402136266114
-309.23732046167777,-344.3302585043865
-301.81807128406194,-309.043719911157
-306.9600288193329,-267.1982760135213
-343.1087795917476,-302.3359890887888
-307.707100490387,-264.2490679883546
-302.64355494794046,-286.81545852600266
-291.889834523803,-296.33776486399404
-322.58604362647975,-301.69461105557593
-304.9114171242997,-317.9763864399582
-288.66845527764076,-326.8517695388316
-261.39041259702697,-329.9609973547529
-377.5376034419442,-324.98410116067845
-311.6914830938234,-283.3305871492776
-346.89245382684896,-326.1678782843292
-352.46976616991236,-304.3723277634118
-316.86559316822223,-276.7282600185186
-293.767368918194,-337.0672633504863
-289.9204201972866,-295.4925515060569
-258.072352450604,-332.726864122905
-307.3180511216596,-355.2707485316478
-285.9269119518873,-323.4265877029661
-336.16480459462645,-344.14953140160344
-328.1386781789291,-313.1048059286995
-330.4566535247447,-356.06263188691037
-368.0770508856277,-330.62263216266086
-323.95392568669206,-316.98192400599316
-325.9097707661025,-321.5986176785674
-308.27591434427865,-296.53577723531447
-323.7795372550938,-277.3489319300498
-292.76737423750916,-292.7382667451463
-314.33576103026655,-300.6414053093674
-303.6921977695744,-279.0130290124273
-282.22412907506106,-311.73412276743267
-309.73036536357785,-316.1918545390834
-274.8343566017996,-282.6007673827783
-278.27074743173085,-343.04286791596684
-282.5316443422857,-332.45877883097046
-299.29399445713386,-246.5598063406419
-274.9914068394877,-268.1588679777038
-258.3635558837041,-286.2117001602446
-308.7875598585042,-259.35343568050155
-248.41752342754006,-259.97995957423615
-286.5478019416893,-256.1098253306315
-265.0931007790173,-282.83743782278594
-270.29533223464824,-320.18258903699495
-266.2507569134421,-300.3558497564338
-286.71196219670094,-270.66464182084337
-306.0226604777163,-310.774223631182
-323.6123029053414,-272.877709715836
-324.141910219998,-289.99496636650736
-318.1532057672513,-285.7450184871379
-300.08041470034885,-250.52015793631563
-259.7780536363917,-301.32345426443084
-275.2423400503937,-312.12677779073124
-315.8619481738131,-292.4508841196287
-278.5356824033792,-344.03023912138576
-292.9984292287131,-262.98631520482877
-291.754967101533,-295.86768202381336
-280.79164872957233,-257.80715059334125
-326.04167380704206,-284.76068584962474
-320.98859651764394,-277.8835479941698
-287.82234574915407,-318.07646222238833
-288.8463347371156,-271.8573541367163
-278.9932376321428,-292.0350327407106
-280.7203948683192,-278.9771044382174
-279.8505766309142,-285.1290100464328
-329.7623574464904,-293.8778533799058
-305.6864895253573,-349.9223160318571
-292.4126376320373,-313.89412681647804
-277.4328677652874,-329.2270620394838
-294.22725875156823,-318.9101824374831
-302.3164305574082,-296.9532370878634
-348.10223148261394,-292.0842016580584
-289.2870922421469,-284.1550057622719
-308.6260165643473,-307.5560834792831
-292.15986598576615,-275.87226454101557
-297.1068749796293,-260.9791463936094
-279.7478126549291,-266.762991598955
-291.91141210821354,-245.3719724600966
-314.0032567087391,-262.3057729395772
-308.57456373772976,-293.163753905783
-257.3937679324339,-309.210838596524
-267.6758858895879,-270.49132354493213
-232.52796282098805,-287.4146469214754
-322.7453110065741,-287.64061288878037
-264.8610958094333,-310.0482966899125
-247.78432948247595,-336.8462485019635
-308.4340392984498,-239.1006101498922
-298.83857594204875,-304.78693491735754
-261.24066717988205,-293.0889886056397
-268.8031712723174,-292.96350398245676
-285.93954570899314,-257.6068930959858
-305.23079464568156,-272.6198376612521
-302.8059033695464,-296.0157666622428
-245.94755421276247,-263.97438230754517
-275.7613433814238,-309.801978873633
-282.0038131889894,-272.51145075996516
-233.00916262044515,-279.3617145782729
-273.74379103713693,-282.8914459408435
-297.2991438409541,-276.43136898154495
-265.2650167066456,-301.6255400880559
-263.6881827175593,-311.71488081275163
-314.23252761573485,-275.1412691677858
-290.35294001950325,-276.67301630802655
-255.8842713526741,-319.04336216818245
-315.0554406845211,-283.614331165909
-275.14566268438006,-260.54149404843685
-339.01325035370775,-293.00858081718644
-311.67909673440766,-274.8086923426522
-276.8648177618261,-260.39776419401835
-267.9799698029338,-259.16714026836746
-258.69574306610406,-243.20754604322002
-290.99644771299324,-263.651063112023
-214.44866216045534,-232.17038235642912
-245.52202802159448,-288.56190959059404
-267.59216807627945,-254.30335863392872
-318.6437424614203,-246.14752016074445
-360.0792105214909,-316.54111645769757
-258.45342287377844,-252.77054483231424
-305.7610916100312,-264.9423529290631
-255.73741884686302,-271.5184236685427
-249.9620979609674,-286.6304084307137
-258.2481918677569,-267.4384900980153
-280.00954459906416,-276.5024783102679
-267.16626189945464,-315.88719203698474
-239.70701208555707,-295.99821286448747
-250.55348135732967,-233.7654211373544
-256.62323785230217,-236.40658424797317
-271.91478937577483,-278.86104669687495
-286.75391834836836,-306.9610299137813
-223.38091575967297,-302.65982324335056
-294.3555813013489,-278.1572668623289
-318.4277720806888,-268.4028089024007
-264.0873468567539,-251.23468363893636
-253.61150032256336,-243.8710087078689
-222.05510897596537,-254.85302345840807
-279.45815029718995,-267.5274482091997
-261.4751785134505,-236.91768802191982
-287.9687444602286,-225.9406047028368
-219.87070958889197,-245.94641973072427
-243.47891600883926,-246.49584797070628
-297.26374233644947,-255.247094410246
-238.0963482010938,-250.1203286784878
-266.4102909012566,-252.94669251996987
-259.92312120389124,-236.44811313070775
-307.1973989927811,-300.1764312906926
-251.2101626272285,-290.70924170887827
-285.40441130244284,-288.3655897363284
-259.7554790467189,-237.01975330396374
-252.54603345198836,-260.76601206071047
-240.5608731742023,-279.66182421522103
-292.4408507393277,-263.302677902695
-284.2028958614426,-248.22331285543908
-267.6037126648449,-249.0361911133959
-264.27676911298164,-219.2536497185399
-270.0652614087056,-238.06231434539268
-259.7719145487464,-251.0506899835356
-210.30093855224226,-244.61858756720366
-257.1249467341455,-231.3556622076158
-242.22972498961875,-264.3990473584515
-290.50641543095173,-272.48518083064516
-241.53203308810535,-281.9352815444457
-255.047924598725,-249.8914516318037
-256.6723470983053,-278.5112464818005
-217.97548573509914,-244.93116938216525
-273.37614182605836,-242.57817162134225
-273.95096820164224,-232.49984775960516
-242.48362693334752,-252.44609977813406
-237.97521424700756,-263.7937380820477
-251.28365282408805,-245.97421727402286
-246.81731216733652,-252.69617480613087
-284.3283975746001,-259.4920063915559
-241.64040802421232,-248.51010156389802
